processed_tweet,prediction,str_id
"cw covid-19 okay, sometimes facebook is funny https://t.co/dficpwhthj",0,1251406266171142144
"@utobian here in ia, as of yesterday, about 53% of covid deaths have been in nursing homes.",0,1251454819728007168
@mattgaetz @realdonaldtrump hey.... why don't you go o tallahassee and swim with the covid's....,0,1251519739991658497
@provcalifornia @saintjohns2 this is a disgrace!!! https://t.co/5lndmnsp1u,0,1251523005026631681
@kenmartin73 @realdonaldtrump the best way to protect the health of our society is the exercise of our first amendment freedoms. HASHTAG_VIRUS,0,1251515813993091072
covid-19 cases related to tablighi jamaat are high in india. foreigner attendees who violated visa norms must be punished. but many attendees from india are still absconding. 1. why aren't they coming out for testing? 2. can't they see they're endangering their families too?,0,1251464416471760897
bill hates is under supreme court trial in india for causing cancer and death with his poison vaccines https://t.co/8jbsrsoe8r,0,1251496781822787584
"okay i’m done. another “liberate” protest, this time in huntington beach, california. and the guy with the “covid-19 is a lie” sign - wearing a hazmat suit, mask, goggles, and gloves - says it all. https://t.co/9nbs0c40l6",0,1251434877901107200
iran shot down a passenger plane full of innocents. democrats blamed president trump. china let the coronavirus escape from their lab in wuhan. democrats blamed president trump. why does the left always side with our enemies? 🤔,1,1251545551348404225
"how much longer will they continue to deny what we already know to be true? how many scholars need to say this is a chimera? covid-19 is a man-made virus: hiv-discoverer says ""could only have been created in a lab"" | zero hedge https://t.co/mj9nyrx7ag",1,1251518784399200262
evidence is mounting that social distancing successfully slowed the HASHTAG_VIRUS pandemic after more than half of humanity -- 4.5 billion people -- were confined to their homes https://t.co/k8ybastxdi https://t.co/q6ap0fwocc,0,1251556603586924545
"the governor of new jersey is asking for urgent help with cobol, a 61-year-old programming language. here's why it's causing problems with unemployment systems, and why it's so hard to replace. https://t.co/cerdpttjxm",0,1251586027577278469
"please join aahoa panelists @jagrutiwps, vinay patel, @cecilpstaton, @kalpeshchicago, and lina patel on saturday, april 18 at 9:30 a.m. edt for a can't-miss webcast with sri sri ravi shankar on the impact of covid-19 on the hospitality industry. https://t.co/hrq4hhyqdh https://t.co/xpkpptn82p",0,1251424996003418113
"myth: antibiotics are effective in preventing and treating covid-19. fact: antibiotics do not work against viruses, only bacteria. get more info at https://t.co/rumtzlytrs. https://t.co/gqp54e9naf",0,1251571535820840961
corona please go away 🥺 👉🏽👈🏽,0,1251435903358205961
"good news: lagos has announced 26 test centres across the state where you can just walk-in and get tested for coronavirus. 1 in each local government 2 in ikorodu 6 in alimosho all you have to do is: check your local govt, call the phone number and get tested. rt for everyone! https://t.co/7g5iw46qzn",0,1251587633245028354
"hospitals deploy ai tools to detect covid-19 on chest scans HASHTAG_OTHER HASHTAG_OTHER #HASHTAG #HASHTAG deep learning algorithms can diagnose, triage, and monitor coronavirus cases from lung images. next, can they predict who will need a ventilator? from a report: ai-power… https://t.co/xflk9uenfn",0,1251536236889726982
